Job Title,Years Exp,Job Type,Industry,Date Posted,Specialization,State,Min Salary,Max Salary,Estimated Salary
Internship for Human Resource Management Students,0,Human Resources,HR Mgmt / Consulting,12/16/2020,Human Resource,Selangor,1500,2500,2000
Talent Acquisition Specialist (Fresh Graduate  ...,0,Human Resources,HR Mgmt / Consulting,12/14/2020,Human Resource,Kuala Lumpur,2500,2500,2500
Specialist Recruiter (Graduate Program),0,Marketing/Business Dev,HR Mgmt / Consulting,12/14/2020,Human Resource,Singapore,2800,3500,3150
Recruitment Consultant (Basic + Attractive Comm / 5 ...,0,Human Resources,HR Mgmt / Consulting,12/14/2020,Human Resource,Singapore,9000,15000,12000
Recruitment Consultant (Supply Chain / Life Science),1,Human Resources,HR Mgmt / Consulting,12/14/2020,Human Resource,Selangor,2500,3500,3000
Human Resource Recruitment Management Trainee (2021 ...,0,Human Resources,HR Mgmt / Consulting,12/12/2020,Human Resource,Singapore,2500,2500,2500
Content Executive I Fresh Grad Welcome I Well ...,0,Journalist/Editors,HR Mgmt / Consulting,11/18/2020,Journalism,Kuala Lumpur,2500,3500,3000
Facility Service Specialist - Houskeeping Department,0,General Work,HR Mgmt / Consulting,11/20/2020,Hotel Restaurant,Singapore,7200,7800,7500
"Outbound Call Center (Telemarketing) Officer, TTDI ...",0,Telesales/Telemarketing,HR Mgmt / Consulting,12/10/2020,Sales Marketing,Kuala Lumpur,1600,2000,1800
IT Graduate Trainee Program,0,Banking/Financial,Insurance,12/7/2020,Accounting and Finance,Selangor,2500,3500,3000
"Associate, Broking-GEGM - (2000029U)",0,Banking/Financial,Insurance,12/8/2020,Accounting and Finance,Kuala Lumpur,2500,2500,2500
"Associate, Management Reports (IFRS) - (200002AA)",0,Banking/Financial,Insurance,12/8/2020,Accounting and Finance,Kuala Lumpur,2500,2500,2500
TAKAFUL CONSULTANT,1,Banking/Financial,Insurance,12/10/2020,Accounting and Finance,Selangor,2500,5000,3750
"Executive, Product Development and Pricing Support (...",0,Banking/Financial,Insurance,12/11/2020,Accounting and Finance,Kuala Lumpur,2000,3000,2500
Management Associate - (2000023I),0,Banking/Financial,Insurance,12/10/2020,Accounting and Finance,Kuala Lumpur,2500,2500,2500
"AIA Life Planner (RM2,000-RM9,000) + Komisyen (...",2,Sales - Financial Services,Insurance,12/9/2020,Sales Marketing,Selangor,2000,9000,5500
"Elite Life Planner (RM2,000-RM9,000) + Commission (...",0,Sales - Financial Services,Insurance,12/9/2020,Sales Marketing,Selangor,2000,9000,5500
Insurance / Takaful Advisor,0,Sales - Financial Services,Insurance,12/11/2020,Sales Marketing,Kuala Lumpur,3500,5000,4250
Sales & Marketing Executive,0,Sales - Financial Services,Insurance,12/9/2020,Sales Marketing,Penang,2500,2500,2500
Sales Executive,0,Sales - Financial Services,Insurance,12/11/2020,Sales Marketing,Kuala Lumpur,3000,5000,4000
Sales Financial Specialist (Insurance / Takaful) -...,1,Sales - Financial Services,Insurance,12/10/2020,Sales Marketing,Perak,9000,14000,11500
HR Recruitment Intern (Internship in Malacca),0,Human Resources,Insurance,12/22/2020,Human Resource,Melaka,500,600,550
SALES EXECUTIVE - PUCHONG / KLANG (BASIC+COMM+INC+...,0,Sales - Corporate,IT / Hardware,12/9/2020,Sales Marketing,Kuala Lumpur,3000,6000,4500
Fresh Network Engineer,0,IT - Network/Sys/DB Admin,IT / Hardware,11/26/2020,Information Technology,Kuala Lumpur,1500,2000,1750
Salesforce Engineer (System Administrator),0,IT - Software,IT / Hardware,12/3/2020,Information Technology,Selangor,2500,3500,3000
Software Engineer (Salesforce Developer),0,IT - Software,IT / Hardware,11/27/2020,Information Technology,Selangor,2500,3500,3000
Junior Inside Product Specialist (Fresh Graduate),0,Sales - Eng/Tech/IT,IT / Hardware,12/9/2020,Sales Marketing,Penang,2700,3000,2850
Sales Graduate Development Program (February Intake),0,Sales - Corporate,IT / Hardware,12/11/2020,Sales Marketing,Penang,2500,3200,2850
Administrator,0,IT - Network/Sys/DB Admin,IT / Software,11/29/2020,Information Technology,Kuala Lumpur,2500,3500,3000
SOFTWARE SUPPORT,0,IT - Software,IT / Software,12/9/2020,Information Technology,Penang,2500,3500,3000
Cloud Software Developer,1,IT - Software,IT / Software,11/27/2020,Information Technology,Kuala Lumpur,2500,2500,2500
DevOps Engineer (AWS),1,IT - Software,IT / Software,12/10/2020,Information Technology,Kuala Lumpur,2500,3500,3000
Full-stack Developer (AWS),1,IT - Software,IT / Software,11/27/2020,Information Technology,Kuala Lumpur,2500,3500,3000
IT Developers / Software Engineers (Languages: Java ...,0,IT - Software,IT / Software,12/7/2020,Information Technology,Kuala Lumpur,9000,12000,10500
IT Engineer,0,IT - Software,IT / Software,11/27/2020,Information Technology,Kuala Lumpur,2000,2600,2300
IT Technician (Junior),0,IT - Hardware,IT / Software,12/11/2020,Information Technology,Penang,1500,2500,2000
NOC Engineer - Network Operations Center,0,IT - Network/Sys/DB Admin,IT / Software,11/27/2020,Information Technology,Kuala Lumpur,2500,3500,3000
Program Analyst,0,IT - Software,IT / Software,12/4/2020,Information Technology,Singapore,2500,3500,3000
Sales Trainee,0,Sales - Eng/Tech/IT,IT / Software,12/8/2020,Sales Marketing,Kuala Lumpur,2500,2500,2500
Enterprise IT & Analytics,0,IT - Network/Sys/DB Admin,IT / Software,12/10/2020,Information Technology,Selangor,2500,2500,2500
Analyst Programmer,1,IT - Software,IT / Software,12/1/2020,Information Technology,Johor,2800,5500,4150
Application Engineer (Java EE),0,IT - Software,IT / Software,12/4/2020,Information Technology,Selangor,2500,3500,3000
Application Software Engineer,2,IT - Software,IT / Software,12/8/2020,Information Technology,Kuala Lumpur,2500,3500,3000
Application Support Analyst (Fresh Graduates!),0,IT - Software,IT / Software,12/2/2020,Information Technology,Kuala Lumpur,2500,3500,3000
Associate Technical Services Engineer (Middleware ...,0,IT - Software,IT / Software,12/10/2020,Information Technology,Selangor,2500,3500,3000
Back-End Software Engineer,0,IT - Software,IT / Software,11/27/2020,Information Technology,Selangor,4000,8000,6000
cbs Graduates Junior SAP Program,1,IT - Software,IT / Software,12/2/2020,Information Technology,Kuala Lumpur,2500,3500,3000
Fresh / Junior Software Engineer,0,IT - Software,IT / Software,11/30/2020,Information Technology,Kuala Lumpur,2500,2500,2500
Java / Microservices Developer,0,IT - Software,IT / Software,11/26/2020,Information Technology,Selangor,2500,3500,3000
Java / Microservices Developer,0,IT - Software,IT / Software,11/26/2020,Information Technology,Selangor,2500,3500,3000
Java / Microservices Developer (Fresh Graduates),1,IT - Software,IT / Software,12/4/2020,Information Technology,Selangor,2500,3500,3000
Java Developer (JAVA EE),0,IT - Software,IT / Software,12/4/2020,Information Technology,Selangor,2500,3500,3000
"Junior Developers (Multiple Vacancies - PHP, ...",0,IT - Software,IT / Software,12/4/2020,Information Technology,Kuala Lumpur,2500,2500,2500
Junior Programmer / Software Engineer,0,IT - Software,IT / Software,12/7/2020,Information Technology,Kuala Lumpur,2500,3500,3000
Junior Software Engineer C#,0,IT - Software,IT / Software,12/3/2020,Information Technology,Selangor,3600,4300,3950
Junior Technical Consultant,0,IT - Software,IT / Software,12/9/2020,Information Technology,Selangor,2500,3500,3000
Operation Maintenance Engineer (Technical Support),0,IT - Network/Sys/DB Admin,IT / Software,12/11/2020,Information Technology,Kuala Lumpur,4000,6000,5000
PHP Software Developer / Laravel Programmer ( Junior...,0,IT - Software,IT / Software,12/7/2020,Information Technology,Penang,2500,3500,3000
POS System Installer & Administrator (1-Year Contract),0,IT - Network/Sys/DB Admin,IT / Software,12/3/2020,Information Technology,Selangor,2500,2500,2500
Quality Control Specialist,0,IT - Software,IT / Software,11/30/2020,Information Technology,Sarawak,2400,2700,2550
Regional support engineer,0,IT - Software,IT / Software,12/2/2020,Information Technology,Selangor,2500,2500,2500
Software Engineer,0,IT - Software,IT / Software,12/9/2020,Information Technology,Singapore,9000,15000,12000
Software Engineer,0,IT - Software,IT / Software,12/6/2020,Information Technology,Kuala Lumpur,2500,2500,2500
Software Engineer,0,IT - Software,IT / Software,12/5/2020,Information Technology,Kuala Lumpur,2500,3500,3000
Software Engineer,2,IT - Software,IT / Software,12/5/2020,Information Technology,Kuala Lumpur,4000,6000,5000
Software Engineer,0,IT - Software,IT / Software,12/2/2020,Information Technology,Kuala Lumpur,2500,3500,3000
SOFTWARE ENGINEER,0,IT - Software,IT / Software,11/30/2020,Information Technology,Kuala Lumpur,3500,5000,4250
Software Engineer,0,IT - Software,IT / Software,12/2/2020,Information Technology,Kuala Lumpur,2500,3500,3000
Software Engineer,1,IT - Software,IT / Software,11/30/2020,Information Technology,Selangor,2500,3500,3000
Software Engineer,1,IT - Software,IT / Software,11/28/2020,Information Technology,Selangor,2500,3500,3000
Software Engineer,0,IT - Software,IT / Software,11/26/2020,Information Technology,Kuala Lumpur,2500,3500,3000
Software Engineer - L1,0,IT - Software,IT / Software,12/1/2020,Information Technology,Kuala Lumpur,2500,3500,3000
Software Engineer (Deployment / DevOps),0,IT - Software,IT / Software,12/10/2020,Information Technology,Kuala Lumpur,2500,3500,3000
Software Engineer / Developer,0,IT - Software,IT / Software,12/10/2020,Information Technology,Selangor,2500,3500,3000
Software Tester,0,IT - Software,IT / Software,12/11/2020,Information Technology,Selangor,3000,4200,3600
Software Tester,0,IT - Software,IT / Software,12/8/2020,Information Technology,Penang,2500,2500,2500
Solution Development Engineer,0,IT - Software,IT / Software,12/4/2020,Information Technology,Kuala Lumpur,2500,3500,3000
System Engineer (Open for FRESH Grads) (SC121),0,IT - Network/Sys/DB Admin,IT / Software,12/2/2020,Information Technology,Selangor,2500,3500,3000
Accounts & Admin Clerk (Internship),0,General/Cost Accounting,IT / Software,12/4/2020,Accounting and Finance,Johor,1500,2500,2000
Accounting Analyst (Korean Speaking),0,General/Cost Accounting,IT / Software,12/7/2020,Accounting and Finance,Selangor,2500,3500,3000
Florist Assistant (Penang),0,Arts/Creative Design,IT / Software,11/17/2020,Arts Media Communication,Kuala Lumpur,1500,2500,2000
Graphic Designer ( Full-Time),1,Arts/Creative Design,IT / Software,12/2/2020,Arts Media Communication,Selangor,1500,3000,2250
Hiring Social Media Operation Support,0,Advertising,IT / Software,11/11/2020,Arts Media Communication,Selangor,2500,2500,2500
Mass Communication Internship in KL next to LRT,0,Public Relations,IT / Software,12/3/2020,Arts Media Communication,Kuala Lumpur,1500,2500,2000
Multimedia Designer ??????,0,Arts/Creative Design,IT / Software,12/3/2020,Arts Media Communication,Perak,1500,2500,2000
Video Editor,0,Arts/Creative Design,IT / Software,11/27/2020,Arts Media Communication,Kuala Lumpur,2500,2500,2500
VIDEOGRAPHY / COMPUTER INTERNSHIP,0,Arts/Creative Design,IT / Software,12/2/2020,Arts Media Communication,Kuala Lumpur,1500,2500,2000
Creative Children's Storytelling Narrator,0,Education,IT / Software,11/20/2020,Education Training,Selangor,2500,2500,2500
Creative Children's Storytelling Narrator,0,Education,IT / Software,11/20/2020,Education Training,Selangor,2500,2500,2500
Early Childhood Teacher,0,Education,IT / Software,12/9/2020,Education Training,Selangor,2500,3500,3000
Early Childhood Teacher,0,Education,IT / Software,12/9/2020,Education Training,Selangor,2500,3500,3000
Early Childhood Teacher,0,Education,IT / Software,12/9/2020,Education Training,Kuala Lumpur,2500,3500,3000
Early Childhood Teacher,0,Education,IT / Software,12/9/2020,Education Training,Kuala Lumpur,2500,3500,3000
Early Childhood Teacher,0,Education,IT / Software,12/9/2020,Education Training,Selangor,2500,3500,3000
Early Childhood Teacher,0,Education,IT / Software,12/9/2020,Education Training,Selangor,2500,3500,3000
EARLY CHILDHOOD TEACHER (BANGI / KAJANG),0,Education,IT / Software,12/4/2020,Education Training,Selangor,2500,2500,2500
EARLY CHILDHOOD TEACHER (SHAH ALAM),0,Education,IT / Software,12/4/2020,Education Training,Selangor,2500,2500,2500
EARLY CHILDHOOD TEACHER (WANGSA MAJU),0,Education,IT / Software,12/4/2020,Education Training,Kuala Lumpur,2500,2500,2500
English Online Tutor,0,Education,IT / Software,12/3/2020,Education Training,Kuala Lumpur,2500,3500,3000
English Preschool Teacher,0,Education,IT / Software,12/4/2020,Education Training,Selangor,2500,2500,2500
Intensive English Program Lecturer,0,Education,IT / Software,12/2/2020,Education Training,Selangor,2500,2500,2500
Intensive English Program Lecturer,0,Education,IT / Software,12/2/2020,Education Training,Selangor,2500,2500,2500
Mandarin Kindergarten Teacher,0,Education,IT / Software,12/3/2020,Education Training,Putrajaya,2500,2500,2500
Mandarin Kindergarten Teacher,0,Education,IT / Software,12/3/2020,Education Training,Putrajaya,2500,2500,2500
Mandarin Preschool Teacher,0,Education,IT / Software,12/4/2020,Education Training,Selangor,2500,2500,2500
Mandarin Preschool Teacher,0,Education,IT / Software,11/18/2020,Education Training,Selangor,1500,2500,2000
Online English Phonetic Teacher,0,Education,IT / Software,12/4/2020,Education Training,Kuala Lumpur,2500,2500,2500
Online English Phonetic Teacher,0,Education,IT / Software,12/4/2020,Education Training,Kuala Lumpur,2500,2500,2500
Online Teacher (Native English Speaker),0,Education,IT / Software,12/4/2020,Education Training,Kuala Lumpur,2500,2500,2500
Online Teacher (Native English Speaker),0,Education,IT / Software,12/4/2020,Education Training,Kuala Lumpur,2500,2500,2500
Part Time Mandarin Preschool Teacher (Minimum 3 ...,0,Education,IT / Software,12/4/2020,Education Training,Selangor,2500,2500,2500
Physics Teacher,0,Education,IT / Software,12/2/2020,Education Training,Johor,2000,2800,2400
Preschool Teacher,0,Education,IT / Software,12/9/2020,Education Training,Kuala Lumpur,2500,3500,3000
Preschool Teacher (Full Time),0,Education,IT / Software,12/9/2020,Education Training,Johor,2500,3500,3000
Preschool Teacher (Full Time),0,Education,IT / Software,11/16/2020,Education Training,Johor,2500,3500,3000
Preschool Teacher (INTERN / PRACTICAL TRAINEE),0,Education,IT / Software,12/4/2020,Education Training,Selangor,1500,2500,2000
Preschool Teacher (Mandarin Speaker),0,Education,IT / Software,12/4/2020,Education Training,Selangor,2500,2500,2500
Preschool Teacher (Part Time),0,Education,IT / Software,12/9/2020,Education Training,Johor,2500,3500,3000
Preschool Teacher (Part Time),0,Education,IT / Software,11/16/2020,Education Training,Johor,2500,3500,3000
Primary Mandarin Teacher,0,Education,IT / Software,12/10/2020,Education Training,Selangor,2500,2500,2500
Statistics ( Time Series and Stress Testing) for ...,0,Actuarial/Statistics,IT / Software,11/17/2020,Education Training,Kuala Lumpur,2500,2500,2500
Teaching Assistant cum Admin,0,Education,IT / Software,12/4/2020,Education Training,Selangor,2500,2500,2500
Teaching Staff,0,Education,IT / Software,11/18/2020,Education Training,Selangor,2500,2500,2500
Concierge cum Front Desk Executive,0,Hotel/Tourism,IT / Software,12/3/2020,Hotel Restaurant,Penang,2500,2500,2500
Customer Service cum Indoor Sales Coordinator(Based ...,0,Sales - Corporate,IT / Software,12/9/2020,Sales Marketing,Penang,2500,3500,3000
Customer Service cum Indoor Sales Coordinator(Based ...,0,Sales - Corporate,IT / Software,12/9/2020,Sales Marketing,Penang,2500,3500,3000
Digital Marketing Intern,0,Digital Marketing,IT / Software,12/9/2020,Sales Marketing,Kuala Lumpur,1500,2500,2000
Freelance Business Executive,0,Marketing/Business Dev,IT / Software,12/10/2020,Sales Marketing,Selangor,2500,2500,2500
Junior Makerting Executive (Fresh Graduate),0,Marketing/Business Dev,IT / Software,12/10/2020,Sales Marketing,Penang,2500,2500,2500
Nu Sentral Promoter ( Parkson Nu Sentral ),0,Retail Sales,IT / Software,12/9/2020,Sales Marketing,Kuala Lumpur,1500,2500,2000
PROTON Sales Advisor,0,Sales - Corporate,IT / Software,12/10/2020,Sales Marketing,Selangor,1500,2500,2000
Retail Associate,0,Retail Sales,IT / Software,12/10/2020,Sales Marketing,Kuala Lumpur,1500,2500,2000
Sales and Marketing Executive,0,Marketing/Business Dev,IT / Software,12/9/2020,Sales Marketing,Kuala Lumpur,2500,3500,3000
Sales Executive for Mobile Game App,0,Sales - Corporate,IT / Software,12/8/2020,Sales Marketing,Penang,3000,4200,3600
Sales Merchandiser,0,Merchandising,IT / Software,12/10/2020,Sales Marketing,Selangor,1500,2500,2000
Telesales Executive,0,Telesales/Telemarketing,IT / Software,12/9/2020,Sales Marketing,Kuala Lumpur,2500,3500,3000
Telesales Executive,0,Telesales/Telemarketing,IT / Software,12/9/2020,Sales Marketing,Kuala Lumpur,2500,3500,3000
The Store fashion brand promoter,0,Retail Sales,IT / Software,12/9/2020,Sales Marketing,Kuala Lumpur,1500,2500,2000
User Researcher (Fresh Grad),0,Marketing/Business Dev,IT / Software,12/10/2020,Sales Marketing,Selangor,2800,3400,3100
Warehouse Operations Officer,0,E-commerce,IT / Software,12/10/2020,Sales Marketing,Penang,1500,1700,1600
Warehouse Operations Officer,0,E-commerce,IT / Software,12/10/2020,Sales Marketing,Penang,1500,2000,1750
HR cum Admin Assistant,0,Clerical/Administrative,IT / Software,12/7/2020,Human Resource,Sarawak,2500,3500,3000
HR and Admin Executive (Fresh Graduates are welcomed),0,Human Resources,IT / Software,12/7/2020,Human Resource,Kuala Lumpur,2000,2500,2250
"Recruitment Consultant / Recruiter  ( 5 days work, ...",0,Human Resources,IT / Software,12/1/2020,Human Resource,Selangor,2500,3500,3000
General / HR Admin,0,Human Resources,IT / Software,12/31/2020,Human Resource,Selangor,2500,2500,2500
Internship for Human Resource Management Students,0,Human Resources,IT / Software,12/15/2020,Human Resource,Selangor,1500,2500,2000
MANDARIN EDITOR,0,Journalist/Editors,IT / Software,12/3/2020,Journalism,Selangor,1800,2600,2200
JOURNALIST,0,Journalist/Editors,IT / Software,11/17/2020,Journalism,Selangor,1800,2600,2200
Junior Research Fellowship - Online Program,0,Law/Legal Services,IT / Software,12/3/2020,Legal,Selangor,2500,2500,2500
Litigation Clerk,0,Law/Legal Services,IT / Software,12/3/2020,Legal,Johor,2500,2500,2500
Litigation Clerk,0,Law/Legal Services,Law / Legal,12/1/2020,Legal,Johor,1500,2500,2000
Accounts cum Admin Clerk,0,Law/Legal Services,Law / Legal,11/30/2020,Legal,Kuala Lumpur,1200,1600,1400
Will Drafter,0,Law/Legal Services,Law / Legal,11/28/2020,Legal,Kuala Lumpur,2500,2500,2500
Patent Executive,0,Law/Legal Services,Law / Legal,11/22/2020,Legal,Kuala Lumpur,2000,3500,2750
CONVEYANCING CLERK,1,Law/Legal Services,Law / Legal,11/18/2020,Legal,Johor,1500,2500,2000
Paralegal,0,Law/Legal Services,Law / Legal,12/3/2020,Legal,Singapore,2500,3500,3000
Software Quality Engineer,0,IT - Software,Manufacturing / Production,11/30/2020,Information Technology,Kuala Lumpur,2500,3500,3000
MIS Executive,0,IT - Network/Sys/DB Admin,Manufacturing / Production,11/26/2020,Information Technology,Kuala Lumpur,2500,3500,3000
Associate Cost Accountant,3,General/Cost Accounting,Manufacturing / Production,12/10/2020,Accounting and Finance,Penang,2500,3500,3000
Sales Executive - (Attractive Remuneration with ...,1,Retail Sales,Manufacturing / Production,12/9/2020,Sales Marketing,Kedah,1500,2500,2000
HR Assistant,0,Human Resources,Manufacturing / Production,12/9/2020,Human Resource,Penang,1500,2300,1900
Application Engineer,0,IT - Hardware,Manufacturing / Production,12/8/2020,Information Technology,Melaka,2500,2500,2500
Embedded Software Development Engineer ( Fresh ...,0,IT - Software,Manufacturing / Production,12/8/2020,Information Technology,Penang,2500,2500,2500
IT EXECUTIVE,0,IT - Network/Sys/DB Admin,Manufacturing / Production,12/8/2020,Information Technology,Johor,2500,3500,3000
R&D Software Engineer (Edge Computing and Video ...,0,IT - Software,Manufacturing / Production,12/7/2020,Information Technology,Selangor,3000,4500,3750
Software Developer (Fresh Grad / Junior / Senior) @ ...,0,IT - Software,Manufacturing / Production,12/4/2020,Information Technology,Penang,2500,2500,2500
SOFTWARE DEVELOPER (IT ENGINEER),0,IT - Network/Sys/DB Admin,Manufacturing / Production,12/4/2020,Information Technology,Johor,2500,3500,3000
Software Engineer,0,IT - Software,Manufacturing / Production,11/30/2020,Information Technology,Penang,2500,2500,2500
"Accountant , Admin Clerk",0,General/Cost Accounting,Manufacturing / Production,12/9/2020,Accounting and Finance,Penang,1400,2800,2100
Account Payable Executive (Fresh Graduate),0,General/Cost Accounting,Manufacturing / Production,12/10/2020,Accounting and Finance,Selangor,2500,2500,2500
Designer (creative / graphic),0,Arts/Creative Design,Manufacturing / Production,11/30/2020,Arts Media Communication,Singapore,2500,3500,3000
Graphic Design cum Marketing,0,Arts/Creative Design,Manufacturing / Production,11/17/2020,Arts Media Communication,Melaka,2500,2500,2500
Pre-printing Engineer,1,Arts/Creative Design,Manufacturing / Production,11/26/2020,Arts Media Communication,Selangor,3000,3300,3150
Video Graphic Designer,0,Arts/Creative Design,Manufacturing / Production,12/10/2020,Arts Media Communication,Penang,2400,2600,2500
"Training, Safety Assistant",1,Training & Dev.,Manufacturing / Production,11/25/2020,Education Training,Melaka,1500,2100,1800
ORDER PROCESSING / SALES EXECUTIVE,1,Sales - Corporate,Manufacturing / Production,12/9/2020,Sales Marketing,Johor,2400,3000,2700
Sales And Marketing Executive,0,Sales - Corporate,Manufacturing / Production,12/10/2020,Sales Marketing,Selangor,2500,2500,2500
Sales Associate,0,Sales - Corporate,Manufacturing / Production,12/11/2020,Sales Marketing,Selangor,2500,2500,2500
Sales Executive,0,Sales - Eng/Tech/IT,Manufacturing / Production,12/9/2020,Sales Marketing,Penang,2500,3500,3000
Sales Person,0,Retail Sales,Manufacturing / Production,12/11/2020,Sales Marketing,Sarawak,1500,2500,2000
Sales Support Assistant / Executive,0,Sales - Corporate,Manufacturing / Production,12/10/2020,Sales Marketing,Selangor,2500,2500,2500
Finance & Corporate Administration-Assistant Officer,0,General/Cost Accounting,Manufacturing / Production,12/6/2020,Accounting and Finance,Selangor,2500,2500,2500
Internship for Human Resource (HR) Student 2021,0,Human Resources,Manufacturing / Production,12/21/2020,Human Resource,Negeri Sembilan,1500,2500,2000
HUMAN RESOURCE OFFICER,1,Human Resources,Manufacturing / Production,12/31/2020,Human Resource,Kuala Lumpur,2000,2500,2250
IT Administrator (Contract),0,IT - Network/Sys/DB Admin,Manufacturing / Production,12/7/2020,Information Technology,Kedah,2000,2400,2200
Engineer Information Technology - Shipment Services,0,IT - Network/Sys/DB Admin,Manufacturing / Production,12/10/2020,Information Technology,Melaka,2500,3500,3000
Software Engineer,0,IT - Software,Manufacturing / Production,12/9/2020,Information Technology,Selangor,2500,3500,3000
Software Enigneer,0,IT - Software,Manufacturing / Production,12/10/2020,Information Technology,Selangor,2500,2500,2500
Systems Engineer - Master Data Developer,0,IT - Network/Sys/DB Admin,Manufacturing / Production,12/10/2020,Information Technology,Melaka,2500,3500,3000
Recruiter,1,Human Resources,Manufacturing / Production,,Human Resource,Selangor,2500,2500,2500
HR Specialist - Employee Services,0,Human Resources,Manufacturing / Production,12/17/2020,Human Resource,Melaka,2500,3500,3000
Sistem Analyst,2,IT - Network/Sys/DB Admin,Manufacturing / Production,12/3/2020,Information Technology,Sabah,3100,6200,4650
Designer cum Social Media Marketing,1,Arts/Creative Design,Property / Real Estate,12/4/2020,Arts Media Communication,Kuala Lumpur,2000,2500,2250
"Real Estate Agent (Part-Time  Full-Time),Property ...",0,Sales - Corporate,Property / Real Estate,12/10/2020,Sales Marketing,Kuala Lumpur,10000,20000,15000
Sales Consultant,0,Telesales/Telemarketing,Property / Real Estate,12/10/2020,Sales Marketing,Kuala Lumpur,5000,7000,6000
Sales Executive ????,0,Retail Sales,Property / Real Estate,12/10/2020,Sales Marketing,Selangor,3000,10000,6500
Telesales Telemarketing,0,Telesales/Telemarketing,Property / Real Estate,12/10/2020,Sales Marketing,Selangor,1500,3000,2250
Recruitment Specialist,0,Human Resources,Property / Real Estate,12/3/2020,Human Resource,Kuala Lumpur,2300,2800,2550
COPYWRITER (CONTENT MARKETING) - ENGLISH & MALAY,0,Journalist/Editors,Property / Real Estate,11/11/2020,Journalism,Kuala Lumpur,2000,4000,3000
Graphic Designer (Based in Petaling Jaya),0,Arts/Creative Design,Retail / Merchandise,11/20/2020,Arts Media Communication,Selangor,2500,2500,2500
Outlet Crew (Design Village & Sunway Carnival Penang),0,Retail Sales,Retail / Merchandise,11/12/2020,Hotel Restaurant,Penang,1500,2500,2000
Outlet Crew (Paradigm Mall Petaling Jaya),0,Retail Sales,Retail / Merchandise,12/9/2020,Sales Marketing,Selangor,1200,1300,1250
Sales Supervisor,2,Retail Sales,Retail / Merchandise,12/10/2020,Sales Marketing,Kedah,2500,2500,2500
Account cum Admin Assistant,0,General/Cost Accounting,Retail / Merchandise,12/8/2020,Accounting and Finance,Penang,1500,2500,2000
Graphic Designer cum Photographer,0,Arts/Creative Design,Retail / Merchandise,12/6/2020,Arts Media Communication,Penang,1600,2300,1950
It Engineer (Field),0,IT - Network/Sys/DB Admin,Retail / Merchandise,12/4/2020,Information Technology,Selangor,2500,2500,2500
PHP Developer,0,IT - Software,Retail / Merchandise,12/11/2020,Information Technology,Johor,1500,4000,2750
Web Programmer,0,IT - Software,Retail / Merchandise,12/8/2020,Information Technology,Selangor,2300,4000,3150
Graphic Designer cum Videographer,0,Arts/Creative Design,Retail / Merchandise,12/1/2020,Arts Media Communication,Terengganu,1500,2100,1800
HR cum ADMIN ASSISTANT,1,Human Resources,Retail / Merchandise,,Human Resource,Kuala Lumpur,1800,2300,2050
Software Programmer,0,IT - Software,Retail / Merchandise,11/27/2020,Information Technology,Penang,3000,4500,3750
Web Designer,0,Arts/Creative Design,Retail / Merchandise,12/7/2020,Arts Media Communication,Penang,2500,3000,2750
Marketing Assistant (Butterworth),0,Marketing/Business Dev,Retail / Merchandise,12/9/2020,Sales Marketing,Penang,2500,2500,2500
Account Officer,1,General/Cost Accounting,Retail / Merchandise,12/7/2020,Accounting and Finance,Penang,2500,2500,2500
Digital Marketing,1,Advertising,Retail / Merchandise,12/9/2020,Arts Media Communication,Selangor,1500,2500,2000
Multimedia Designer,0,Arts/Creative Design,Retail / Merchandise,11/20/2020,Arts Media Communication,Penang,2400,4000,3200
PR cum Marketing Intern (MY market),0,Public Relations,Retail / Merchandise,12/8/2020,Arts Media Communication,Singapore,1500,2500,2000
Convenience store clerk,0,Retail Sales,Retail / Merchandise,12/11/2020,Sales Marketing,Kuala Lumpur,2500,3500,3000
Sales Executive (few positions),0,Sales - Corporate,Retail / Merchandise,12/10/2020,Sales Marketing,Selangor,2500,2500,2500
Sales Support Executive,0,Sales - Corporate,Retail / Merchandise,12/10/2020,Sales Marketing,Selangor,2500,2500,2500
E-commerce (Photo Editor),0,Arts/Creative Design,Retail / Merchandise,11/20/2020,Arts Media Communication,Selangor,2500,2500,2500
GRAPHIC DESIGNER,1,Arts/Creative Design,Retail / Merchandise,12/11/2020,Arts Media Communication,Selangor,2000,3000,2500
Graphic Designer,1,Arts/Creative Design,Retail / Merchandise,11/18/2020,Arts Media Communication,Kuala Lumpur,2500,2500,2500
Training & Admin Assistant (Contract),0,Training & Dev.,Retail / Merchandise,12/2/2020,Education Training,Kuala Lumpur,2500,3500,3000
Reservations Executive,0,Hotel/Tourism,Retail / Merchandise,12/3/2020,Hotel Restaurant,Kuala Lumpur,1800,2400,2100
"Assistant, Digital Marketing",1,Digital Marketing,Retail / Merchandise,12/8/2020,Sales Marketing,Sabah,1500,2500,2000
Outlet Sales Assistant  ???? (Klang),0,Retail Sales,Retail / Merchandise,12/10/2020,Sales Marketing,Selangor,2500,2500,2500
Outlet Sales Assistant  ????(KL Mid Valley / Sri ...,0,Retail Sales,Retail / Merchandise,12/10/2020,Sales Marketing,Kuala Lumpur,2500,2500,2500
Outlet Sales Assistant  ????(Mid Valley / Sri ...,0,Retail Sales,Retail / Merchandise,12/9/2020,Sales Marketing,Selangor,2500,2500,2500
